scan_date,equity,cash,positions,holdings
2025-02-04,1.0816610472866741,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-05,1.094511841318603,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-06,1.0696337358249475,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-07,1.0688552789932102,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-10,1.0841954089886547,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-11,1.073671052678902,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-12,1.0626551806013618,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-13,1.071437470389321,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-14,1.074519895627722,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-18,1.0845793438841498,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-19,1.103264004804174,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-20,1.0774687578604567,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-21,1.0485604413276142,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-24,1.0397041111196434,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-25,1.0253793187645204,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-26,1.0384889446303573,1.6653345369377348e-16,6,"AM, CRK, GEO, TRGP, AAL, KNTK"
2025-02-27,1.0162754627794812,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-02-28,1.0310986537360254,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-03,0.9972892644398611,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-04,0.9893126493779135,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-05,1.031497125130291,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-06,0.9829329472735355,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-07,1.0053815102280537,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-10,0.9601528316786121,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-11,0.9389616900037543,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-12,0.9504610682646695,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-13,0.9112442562002689,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-14,0.9551085531346346,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-17,0.9726631128234077,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-18,0.9515347754969181,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-19,0.9669307932836996,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-20,0.9526503490135657,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-21,0.9550632567647965,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-24,0.9804114755882762,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-25,0.9834545197721323,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-26,0.9639383722157798,0.0,6,"PLTR, MP, ATEN, IBM, SLAB, ALK"
2025-03-27,0.9507391947352511,0.9507391947352511,0,
2025-03-28,0.9507391947352511,0.9507391947352511,0,
2025-03-31,0.9507391947352511,0.9507391947352511,0,
2025-04-01,0.9507391947352511,0.9507391947352511,0,
2025-04-02,0.9507391947352511,0.9507391947352511,0,
2025-04-03,0.9507391947352511,0.9507391947352511,0,
2025-04-04,0.9507391947352511,0.9507391947352511,0,
2025-04-07,0.9507391947352511,0.9507391947352511,0,
2025-04-08,0.9507391947352511,0.9507391947352511,0,
2025-04-09,0.9507391947352511,0.9507391947352511,0,
2025-04-10,0.9507391947352511,0.9507391947352511,0,
2025-04-11,0.9507391947352511,0.9507391947352511,0,
2025-04-14,0.9507391947352511,0.9507391947352511,0,
2025-04-15,0.9507391947352511,0.9507391947352511,0,
2025-04-16,0.9507391947352511,0.9507391947352511,0,
2025-04-17,0.9507391947352511,0.9507391947352511,0,
2025-04-21,0.9507391947352511,0.9507391947352511,0,
2025-04-22,0.9507391947352511,0.9507391947352511,0,
2025-04-23,0.9507391947352511,0.9507391947352511,0,
2025-04-24,0.9507391947352511,0.9507391947352511,0,
2025-04-25,0.9507391947352511,0.9507391947352511,0,
2025-04-28,0.9507391947352511,0.9507391947352511,0,
2025-04-29,0.9507391947352511,0.9507391947352511,0,
2025-04-30,0.9507391947352511,0.9507391947352511,0,
2025-05-01,0.9507391947352511,0.9507391947352511,0,
2025-05-02,0.9507391947352511,0.9507391947352511,0,
