ticker,sector,entry_date,exit_date,entry_price,exit_price,return,holding_days,model_alpha,pre_opportunity,entry_rank,exit_reason
TWLO,Information Technology,2025-01-02,2025-01-30,109.06999969482422,148.35000610351562,0.360135752439682,20,0.10680901259183884,0.4508720977801394,1,max_hold_days
AROC,Energy,2025-01-02,2025-01-30,24.34071159362793,28.84148406982422,0.1849071855966007,20,0.10602802783250809,0.4247537744552344,2,max_hold_days
ALGT,Industrials,2025-01-02,2025-01-30,91.94999694824219,104.05999755859375,0.1317020229719874,20,0.09902234375476837,0.4093392266861622,3,max_hold_days
TPL,Energy,2025-01-02,2025-01-30,390.50994873046875,428.3371887207031,0.09686626451697111,20,0.0894085019826889,0.4795572298402097,4,max_hold_days
MIR,Information Technology,2025-01-02,2025-01-30,16.920000076293945,15.84000015258789,-0.06382978243712933,20,0.08687783032655716,0.46922346805735893,5,max_hold_days
APP,Information Technology,2025-01-02,2025-01-30,341.7799987792969,365.510009765625,0.06943066028170852,20,0.08581098914146423,0.4462274129924246,6,max_hold_days
AM,Energy,2025-01-30,2025-02-27,15.280110359191895,15.251901626586914,-0.0018461079103405664,20,0.11040318757295609,0.4000279342276545,1,max_hold_days
CRK,Energy,2025-01-30,2025-02-27,19.43000030517578,17.489999771118164,-0.09984562550628673,20,0.10659759491682053,0.4552467309068178,2,max_hold_days
GEO,Industrials,2025-01-30,2025-02-27,31.459999084472656,27.34000015258789,-0.13095991900133985,20,0.10202042758464813,0.49209363641592757,3,max_hold_days
TRGP,Energy,2025-01-30,2025-02-27,198.7689971923828,190.09727478027344,-0.043627137705566144,20,0.07762211561203003,0.45000939288389447,4,max_hold_days
AAL,Industrials,2025-01-30,2025-02-27,16.899999618530273,14.529999732971191,-0.14023668278432733,20,0.06939928233623505,0.49685526294656895,5,max_hold_days
KNTK,Energy,2025-01-30,2025-02-27,59.222312927246094,51.05471420288086,-0.13791421375924695,20,0.06613799929618835,0.4397850383201666,6,max_hold_days
PLTR,Information Technology,2025-02-27,2025-03-27,84.7699966430664,90.08999633789062,0.06275805008256263,20,0.1575644612312317,0.41755395270433904,1,max_hold_days
MP,Materials,2025-02-27,2025-03-27,23.459999084472656,26.170000076293945,0.11551581831113289,20,0.061473771929740906,0.4027390103631753,2,max_hold_days
ATEN,Information Technology,2025-02-27,2025-03-27,20.180614471435547,17.042503356933594,-0.155501266769838,20,0.04678665101528168,0.4916158657403006,3,max_hold_days
IBM,Information Technology,2025-02-27,2025-03-27,247.08773803710938,240.238037109375,-0.02772173553470969,20,0.03475279361009598,0.4076735438060124,4,max_hold_days
SLAB,Information Technology,2025-02-27,2025-03-27,135.97999572753906,119.56999969482422,-0.1206794863091134,20,0.027019746601581573,0.4341506050987084,5,max_hold_days
ALK,Industrials,2025-02-27,2025-03-27,71.06999969482422,52.5,-0.2612916810829339,20,0.025981148704886436,0.4674083309951624,6,max_hold_days
RGLD,Materials,2025-05-12,2025-06-09,169.3874969482422,175.23631286621094,0.034529206838423976,20,0.009593979455530643,0.42156557529152,1,max_hold_days
LIF,Information Technology,2025-05-13,2025-06-10,59.619998931884766,62.5,0.04830595638563495,20,0.030466485768556595,0.40919934679407616,1,max_hold_days
LYFT,Industrials,2025-05-13,2025-06-10,17.030000686645508,15.680000305175781,-0.07927189236864574,20,0.0293180663138628,0.4117059746847263,2,max_hold_days
APH,Information Technology,2025-05-14,2025-06-11,85.02806854248047,92.41577911376953,0.08688555082958427,20,0.046149224042892456,0.4011298206568329,1,max_hold_days
ATI,Industrials,2025-05-14,2025-06-11,75.06999969482422,83.88999938964844,0.11749033875955006,20,0.0234204214066267,0.4047382182642046,2,max_hold_days
STRL,Industrials,2025-05-14,2025-06-11,187.1999969482422,204.4600067138672,0.09220090837072559,20,0.01801290549337864,0.4133613152229752,3,max_hold_days
AVAV,Industrials,2025-06-09,2025-07-07,195.72000122070312,240.74000549316406,0.23002250149025016,20,0.17774702608585358,0.4541306833934546,1,max_hold_days
AGX,Industrials,2025-06-10,2025-07-08,208.24560546875,201.36538696289062,-0.033038961328246796,20,0.11673200130462646,0.497999121944562,1,max_hold_days
CAR,Industrials,2025-06-10,2025-07-08,125.87000274658203,178.52000427246094,0.41828871356967223,20,0.10889329016208649,0.46399541154917445,2,max_hold_days
FLR,Industrials,2025-06-11,2025-07-09,49.790000915527344,51.63999938964844,0.03715602410330865,20,0.14246691763401031,0.4045019002559387,1,max_hold_days
DY,Industrials,2025-06-11,2025-07-09,236.4600067138672,252.27999877929688,0.0669034577359755,20,0.09271914511919022,0.4508469739846757,2,max_hold_days
QTWO,Information Technology,2025-06-11,2025-07-09,89.0999984741211,94.97000122070312,0.06588106450177955,20,0.08282448351383209,0.42393281406829075,3,max_hold_days
MP,Materials,2025-07-07,2025-08-04,31.049999237060547,65.41999816894531,1.1069243084187117,20,0.573150634765625,0.4430988662555049,1,max_hold_days
VSAT,Information Technology,2025-07-08,2025-08-05,15.920000076293945,21.290000915527344,0.33731160888810074,20,0.2936711311340332,0.46650844605863134,1,max_hold_days
SEDG,Information Technology,2025-07-08,2025-08-05,26.149999618530273,26.1200008392334,-0.0011471808693878094,20,0.2109747976064682,0.48163648592285024,2,max_hold_days
BMI,Information Technology,2025-07-09,2025-08-06,238.1164093017578,186.8134307861328,-0.21545335185451364,20,0.1395876258611679,0.5235601754686593,1,max_hold_days
ALGM,Information Technology,2025-07-09,2025-08-06,36.88999938964844,30.809999465942383,-0.1648143134806378,20,0.12990663945674896,0.4765839358967585,2,max_hold_days
CLSK,Information Technology,2025-07-09,2025-08-06,12.470000267028809,11.0,-0.11788293789500148,20,0.12424624711275101,0.45734017845754144,3,max_hold_days
CVI,Energy,2025-08-04,2025-09-02,24.93000030517578,31.790000915527344,0.2751704984507095,21,0.10282307863235474,0.4313085280600007,1,max_hold_days
KTOS,Industrials,2025-08-05,2025-09-02,59.400001525878906,66.08999633789062,0.11262617239322936,20,0.07058721035718918,0.46981815713444436,1,max_hold_days
ACLS,Information Technology,2025-08-05,2025-09-02,78.01000213623047,79.5999984741211,0.020381954805154034,20,0.052922382950782776,0.49560851024743546,2,max_hold_days
VSAT,Information Technology,2025-08-06,2025-09-03,27.81999969482422,29.5,0.06038822155301227,20,0.18007084727287292,0.4340471897892056,1,max_hold_days
EMR,Industrials,2025-08-06,2025-09-03,132.3188934326172,128.44691467285156,-0.029262478390793212,20,0.06854000687599182,0.5062095619125068,2,max_hold_days
ACMR,Information Technology,2025-08-06,2025-09-03,25.100000381469727,26.829999923706055,0.06892428350373714,20,0.06031002104282379,0.5170497441635342,3,max_hold_days
CIEN,Information Technology,2025-09-02,2025-09-30,93.58999633789062,145.6699981689453,0.5564697496410704,20,0.16148844361305237,0.46167193550692043,1,max_hold_days
CENX,Materials,2025-09-02,2025-09-30,21.690000534057617,29.360000610351562,0.3536191741558752,20,0.11131593585014343,0.4041368062850351,2,max_hold_days
RUN,Industrials,2025-09-02,2025-09-30,15.930000305175781,17.290000915527344,0.08537354578139511,20,0.10618371516466141,0.43448495774830365,3,max_hold_days
CC,Materials,2025-09-03,2025-10-01,14.796998023986816,15.71563720703125,0.062082807712433574,20,0.21554410457611084,0.4157468634201933,1,max_hold_days
HL,Materials,2025-09-03,2025-10-01,8.975553512573242,12.25393009185791,0.3652562011570888,20,0.19668784737586975,0.4142950694708127,2,max_hold_days
CVI,Energy,2025-09-03,2025-10-01,30.889999389648438,36.56999969482422,0.18387829127245658,20,0.12438646703958511,0.45176395720891666,3,max_hold_days
BTU,Energy,2025-09-30,2025-10-28,26.39537811279297,27.340911865234375,0.03582194384187054,20,0.3150707483291626,0.4291046577743421,1,max_hold_days
CLSK,Information Technology,2025-09-30,2025-10-28,14.5,19.149999618530273,0.32068962886415675,20,0.18745636940002441,0.42386859128063287,2,max_hold_days
ACMR,Information Technology,2025-09-30,2025-10-28,39.130001068115234,40.470001220703125,0.03424482790724426,20,0.15796677768230438,0.4332169350146791,3,max_hold_days
MP,Materials,2025-10-01,2025-10-29,67.62999725341797,64.29000091552734,-0.04938631485338152,20,0.0932483971118927,0.4731906707620537,1,max_hold_days
VSAT,Information Technology,2025-10-01,2025-10-29,29.31999969482422,39.16999816894531,0.33594810970819644,20,0.061549216508865356,0.48602469708709706,2,max_hold_days
