ticker,sector,entry_date,exit_date,entry_price,exit_price,entry_cash_outlay,exit_net_proceeds,entry_fee,exit_fee,return,holding_days,model_alpha,pre_opportunity,entry_rank,exit_reason
TWLO,Information Technology,2025-01-02,2025-01-30,109.12453469467162,148.27583110046388,0.16666666666666666,0.22601024311002987,0.00016650016650016086,0.00022623647958961948,0.35606145866017935,20,0.10680901259183884,0.4508720977801394,1,max_hold_days
AROC,Energy,2025-01-02,2025-01-30,24.35288194942474,28.827063327789308,0.16666666666666666,0.19689296498467362,0.00016650016650016086,0.00019709005503971335,0.18135778990804186,20,0.10602802783250809,0.4247537744552344,2,max_hold_days
ALGT,Industrials,2025-01-02,2025-01-30,91.99597194671631,104.00796755981446,0.16666666666666666,0.18805200060451643,0.00016650016650016086,0.00018824024084536178,0.1283120036270986,20,0.09902234375476837,0.4093392266861622,3,max_hold_days
TPL,Energy,2025-01-02,2025-01-30,390.705203704834,428.1230201263428,0.16666666666666666,0.18226343264487102,0.00016650016650016086,0.00018244587852339443,0.09358059586922618,20,0.0894085019826889,0.4795572298402097,4,max_hold_days
MIR,Information Technology,2025-01-02,2025-01-30,16.92846007633209,15.832080152511598,0.16666666666666666,0.15556098579442135,0.00016650016650016086,0.00015571670249691827,-0.06663408523347192,20,0.08687783032655716,0.46922346805735893,5,max_hold_days
APP,Information Technology,2025-01-02,2025-01-30,341.95088877868653,365.3272547607422,0.16666666666666666,0.17770452918838883,0.00016650016650016086,0.00017788241159998882,0.06622717513033316,20,0.08581098914146423,0.4462274129924246,6,max_hold_days
AM,Energy,2025-01-30,2025-02-27,15.287750414371489,15.244275675773622,0.18774735938781686,0.18683939755060583,0.000187559799588205,0.00018702642397458043,-0.004836083128793911,20,0.11040318757295609,0.4000279342276545,1,max_hold_days
CRK,Energy,2025-01-30,2025-02-27,19.439715305328367,17.481254771232607,0.18774735938781686,0.16849536165295104,0.000187559799588205,0.00016866402567862967,-0.10254204265583466,20,0.10659759491682053,0.4552467309068178,2,max_hold_days
GEO,Industrials,2025-01-30,2025-02-27,31.47572908401489,27.3263301525116,0.18774735938781686,0.16267123383268273,0.000187559799588205,0.00016283406790058332,-0.13356313312154822,20,0.10202042758464813,0.49209363641592757,3,max_hold_days
TRGP,Energy,2025-01-30,2025-02-27,198.868381690979,190.0022261428833,0.18774735938781686,0.17901861710998548,0.000187559799588205,0.00017919781492491038,-0.04649195763015246,20,0.07762211561203003,0.45000939288389447,4,max_hold_days
AAL,Industrials,2025-01-30,2025-02-27,16.90844961833954,14.522734733104707,0.18774735938781686,0.16093476316401253,0.000187559799588205,0.00016109585902303558,-0.14281210830997304,20,0.06939928233623505,0.49685526294656895,5,max_hold_days
KNTK,Energy,2025-01-30,2025-02-27,59.25192408370971,51.02918684577942,0.18774735938781686,0.1613694944383329,0.000187559799588205,0.0001615310254637967,-0.14049659625303712,20,0.06613799929618835,0.4397850383201666,6,max_hold_days
PLTR,Information Technology,2025-02-27,2025-03-27,84.81238164138793,90.04495133972168,0.16988814462476176,0.18000915486171257,0.00016971842619853406,0.0001801893442059185,0.05957455277003265,20,0.1575644612312317,0.41755395270433904,1,max_hold_days
