ticker,sector,entry_date,exit_date,entry_price,exit_price,entry_cash_outlay,exit_net_proceeds,entry_fee,exit_fee,return,holding_days,model_alpha,pre_opportunity,entry_rank,exit_reason
QTWO,Information Technology,2025-06-11,2025-07-09,89.0999984741211,94.97000122070312,0.16907958849522342,0.18021873177081157,0.0,0.0,0.06588106450177955,20,0.08282448351383209,0.42393281406829075,3,max_hold_days
MP,Materials,2025-07-07,2025-08-04,31.049999237060547,65.41999816894531,0.18998192108832412,0.4002775277010755,0.0,0.0,1.1069243084187113,20,0.573150634765625,0.4430988662555049,1,max_hold_days
VSAT,Information Technology,2025-07-08,2025-08-05,15.920000076293945,21.290000915527344,0.18783393120047845,0.25119249673748867,0.0,0.0,0.33731160888810074,20,0.2936711311340332,0.46650844605863134,1,max_hold_days
SEDG,Information Technology,2025-07-08,2025-08-05,26.149999618530273,26.1200008392334,0.18783393120047845,0.18761845170798336,0.0,0.0,-0.0011471808693878094,20,0.2109747976064682,0.48163648592285024,2,max_hold_days
BMI,Information Technology,2025-07-09,2025-08-06,238.1164093017578,186.8134307861328,0.18784985501857032,0.14737697410943493,0.0,0.0,-0.21545335185451353,20,0.1395876258611679,0.5235601754686593,1,max_hold_days
ALGM,Information Technology,2025-07-09,2025-08-06,36.88999938964844,30.809999465942383,0.18784985501857032,0.15688951012624733,0.0,0.0,-0.1648143134806377,20,0.12990663945674896,0.4765839358967585,2,max_hold_days
CLSK,Information Technology,2025-07-09,2025-08-06,12.470000267028809,11.0,0.18784985501857032,0.16570556222583116,0.0,0.0,-0.11788293789500148,20,0.12424624711275101,0.45734017845754144,3,max_hold_days
CVI,Energy,2025-08-04,2025-09-02,24.93000030517578,31.790000915527344,0.2154001823665677,0.27467195791474985,0.0,0.0,0.2751704984507095,21,0.10282307863235474,0.4313085280600007,1,max_hold_days
KTOS,Industrials,2025-08-05,2025-09-02,59.400001525878906,66.08999633789062,0.21987778308704498,0.24464177619044755,0.0,0.0,0.11262617239322914,20,0.07058721035718918,0.46981815713444436,1,max_hold_days
ACLS,Information Technology,2025-08-05,2025-09-02,78.01000213623047,79.5999984741211,0.21987778308704498,0.2243593221245826,0.0,0.0,0.020381954805154034,20,0.052922382950782776,0.49560851024743546,2,max_hold_days
VSAT,Information Technology,2025-08-06,2025-09-03,27.81999969482422,29.5,0.21986330590775152,0.23314045993628657,0.0,0.0,0.06038822155301249,20,0.18007084727287292,0.4340471897892056,1,max_hold_days
EMR,Industrials,2025-08-06,2025-09-03,132.3188934326172,128.44691467285156,0.21986330590775152,0.2134295606696976,0.0,0.0,-0.029262478390793212,20,0.06854000687599182,0.5062095619125068,2,max_hold_days
ACMR,Information Technology,2025-08-06,2025-09-03,25.100000381469727,26.829999923706055,0.21711226935561576,0.23207657696082196,0.0,0.0,0.06892428350373714,20,0.06031002104282379,0.5170497441635342,3,max_hold_days
CIEN,Information Technology,2025-09-02,2025-09-30,93.58999633789062,145.6699981689453,0.2406530299289188,0.3745691612438293,0.0,0.0,0.5564697496410704,20,0.16148844361305237,0.46167193550692043,1,max_hold_days
CENX,Materials,2025-09-02,2025-09-30,21.690000534057617,29.360000610351562,0.2406530299289188,0.32575255563049216,0.0,0.0,0.3536191741558752,20,0.11131593585014343,0.4041368062850351,2,max_hold_days
RUN,Industrials,2025-09-02,2025-09-30,15.930000305175781,17.290000915527344,0.2406530299289188,0.2611984323969868,0.0,0.0,0.08537354578139511,20,0.10618371516466141,0.43448495774830365,3,max_hold_days
CC,Materials,2025-09-03,2025-10-01,14.796998023986816,15.71563720703125,0.2398343185493763,0.2547239064307198,0.0,0.0,0.062082807712433574,20,0.21554410457611084,0.4157468634201933,1,max_hold_days
HL,Materials,2025-09-03,2025-10-01,8.975553512573242,12.25393009185791,0.2398343185493763,0.32743529064982063,0.0,0.0,0.3652562011570888,20,0.19668784737586975,0.4142950694708127,2,max_hold_days
CVI,Energy,2025-09-03,2025-10-01,30.889999389648438,36.56999969482422,0.22069192691107709,0.2612723813291118,0.0,0.0,0.18387829127245636,20,0.12438646703958511,0.45176395720891666,3,max_hold_days
BTU,Energy,2025-09-30,2025-10-28,26.39537811279297,27.340911865234375,0.2998191375905355,0.3105592419000217,0.0,0.0,0.03582194384187054,20,0.3150707483291626,0.4291046577743421,1,max_hold_days
CLSK,Information Technology,2025-09-30,2025-10-28,14.5,19.149999618530273,0.2998191375905355,0.3959680255508159,0.0,0.0,0.32068962886415675,20,0.18745636940002441,0.42386859128063287,2,max_hold_days
ACMR,Information Technology,2025-09-30,2025-10-28,39.130001068115234,40.470001220703125,0.2998191375905355,0.3100863923606218,0.0,0.0,0.03424482790724426,20,0.15796677768230438,0.4332169350146791,3,max_hold_days
MP,Materials,2025-10-01,2025-10-29,67.62999725341797,64.29000091552734,0.31038984090109545,0.29506083049106296,0.0,0.0,-0.04938631485338152,20,0.0932483971118927,0.4731906707620537,1,max_hold_days
VSAT,Information Technology,2025-10-01,2025-10-29,29.31999969482422,39.16999816894531,0.31038984090109545,0.4146647212244463,0.0,0.0,0.33594810970819644,20,0.061549216508865356,0.48602469708709706,2,max_hold_days
SEDG,Information Technology,2025-10-01,2025-10-29,38.619998931884766,36.29999923706055,0.28471463310716294,0.26761111471800875,0.0,0.0,-0.060072495054079855,20,0.04554427042603493,0.44285698205847845,3,max_hold_days
PARR,Energy,2025-10-28,2025-11-25,39.63999938964844,45.0,0.3351379098113531,0.38045424252577525,0.0,0.0,0.13521697005250877,20,0.08283456414937973,0.42856108189675746,1,max_hold_days
WDC,Information Technology,2025-10-28,2025-11-25,124.75991821289062,155.2108612060547,0.3351379098113531,0.4169371409482266,0.0,0.0,0.24407633019767205,20,0.08208067715167999,0.4860876300604453,2,max_hold_days
PBF,Energy,2025-10-28,2025-11-25,32.284088134765625,34.16017150878906,0.3351379098113531,0.3546133448299117,0.0,0.0,0.05811170401319621,20,0.07890888303518295,0.4282353288058853,3,max_hold_days
CIEN,Information Technology,2025-10-29,2025-11-26,189.27000427246094,200.2899932861328,0.343797134081617,0.36381425541615986,0.0,0.0,0.058223642230219586,20,0.09174126386642456,0.43820122449216486,1,max_hold_days
COHR,Information Technology,2025-10-29,2025-11-26,138.05999755859375,154.0,0.343797134081617,0.3834909429583239,0.0,0.0,0.11545706738580219,20,0.08321259170770645,0.44175497513645634,2,max_hold_days
LITE,Information Technology,2025-10-29,2025-11-26,214.27999877929688,308.2799987792969,0.30094232864768405,0.4329592180169007,0.0,0.0,0.43867836725544196,20,0.07260923832654953,0.444345815626198,3,max_hold_days
ACMR,Information Technology,2025-11-25,2025-12-23,33.099998474121094,39.880001068115234,0.38136643707431767,0.4594832211173065,0.0,0.0,0.2048339246690607,20,0.16392162442207336,0.40354263973054133,1,max_hold_days
CENX,Materials,2025-11-25,2025-12-23,28.479999542236328,38.970001220703125,0.38136643707431767,0.521834647373536,0.0,0.0,0.36832871654053045,20,0.16192425787448883,0.4720725248629691,2,max_hold_days
ALGT,Industrials,2025-11-25,2025-12-23,72.51000213623047,83.25,0.38136643707431767,0.4378534678124539,0.0,0.0,0.14811746720944008,20,0.09197945892810822,0.4239403458617044,3,max_hold_days
HL,Materials,2025-11-26,2025-12-24,15.966867446899414,19.82611083984375,0.3933167215321307,0.4883826425060136,0.0,0.0,0.24170322737248995,20,0.17374107241630554,0.4063574156876882,1,max_hold_days
WDC,Information Technology,2025-11-26,2025-12-24,157.5378875732422,179.47410583496094,0.3933167215321307,0.4480837466739476,0.0,0.0,0.13924408026304302,20,0.09270375221967697,0.42057248020694854,2,max_hold_days
AMKR,Information Technology,2025-11-26,2025-12-24,34.78118896484375,40.68204116821289,0.3933167215321307,0.4600454306979022,0.0,0.0,0.16965642575742956,20,0.06304066628217697,0.4410804497030464,3,max_hold_days
AMR,Materials,2025-12-23,2026-01-20,208.74000549316406,232.8699951171875,0.4722229697871913,0.5268111419694691,0.0,0.0,0.11559829926714094,20,0.1362329125404358,0.4139042883068309,1,max_hold_days
CIEN,Information Technology,2025-12-23,2026-01-20,240.2899932861328,241.2100067138672,0.4722229697871913,0.47403099960627526,0.0,0.0,0.003828762967414967,20,0.10003207623958588,0.41930716440879423,2,max_hold_days
ALB,Materials,2025-12-23,2026-01-20,146.3374786376953,172.11361694335938,0.4722229697871913,0.555401145970491,0.0,0.0,0.17614174130662086,20,0.08816118538379669,0.40981114403022656,3,max_hold_days
CENX,Materials,2025-12-24,2026-01-21,39.310001373291016,47.75,0.47129776480889135,0.5724870893775931,0.0,0.0,0.21470359531565664,20,0.2038482427597046,0.41883198783334386,1,max_hold_days
ALGT,Industrials,2025-12-24,2026-01-21,84.63999938964844,90.61000061035156,0.47129776480889135,0.5045403008617431,0.0,0.0,0.07053404139595565,20,0.10839693248271942,0.44875586794025896,2,max_hold_days
RUN,Industrials,2025-12-24,2026-01-21,20.15999984741211,17.81999969482422,0.4646383860777559,0.4107071409116153,0.0,0.0,-0.11607143701879896,20,0.07526402175426483,0.45810478581911696,3,max_hold_days
